Column,Missing_Count,Missing_Percentage,Data_Category,Unique_Values,Treatment_Suggestion
Abscess_Location,769,98.33759590792839,Categorical,7,考虑删除列
Gynecological_Findings,756,96.67519181585678,Categorical,14,考虑删除列
Conglomerate_of_Bowel_Loops,739,94.50127877237851,Categorical,2,考虑删除列
Segmented_Neutrophils,728,93.09462915601023,Numerical,39,考虑删除列
Ileus,722,92.32736572890026,Categorical,2,考虑删除列
Perfusion,719,91.94373401534527,Categorical,4,考虑删除列
Enteritis,716,91.56010230179028,Categorical,2,考虑删除列
Appendicolith,713,91.17647058823529,Categorical,3,考虑删除列
Coprostasis,711,90.92071611253198,Categorical,2,考虑删除列
Perforation,701,89.64194373401536,Categorical,4,考虑删除列
Appendicular_Abscess,697,89.13043478260869,Categorical,3,考虑删除列
Bowel_Wall_Thickening,683,87.34015345268543,Categorical,2,考虑删除列
Lymph_Nodes_Location,661,84.52685421994885,Categorical,26,考虑删除列
Target_Sign,644,82.35294117647058,Categorical,2,考虑删除列
Meteorism,642,82.09718670076727,Categorical,2,考虑删除列
Pathological_Lymph_Nodes,579,74.04092071611254,Categorical,2,考虑删除列
Appendix_Wall_Layers,564,72.1227621483376,Categorical,4,考虑删除列
Surrounding_Tissue_Reaction,530,67.77493606138107,Categorical,2,重点关注/专门处理
Appendix_Diameter,284,36.31713554987212,Numerical,78,KNN插补/回归插补
RBC_in_Urine,206,26.342710997442452,Categorical,4,众数插补/新类别
Ketones_in_Urine,200,25.575447570332482,Categorical,4,众数插补/新类别
WBC_in_Urine,199,25.44757033248082,Categorical,4,众数插补/新类别
Ipsilateral_Rebound_Tenderness,163,20.843989769820972,Categorical,2,众数插补/新类别
Neutrophil_Percentage,103,13.171355498721226,Numerical,355,中位数插补
Free_Fluids,63,8.05626598465473,Categorical,2,众数插补
Alvarado_Score,52,6.649616368286446,Numerical,11,中位数插补
Paedriatic_Appendicitis_Score,52,6.649616368286446,Numerical,11,中位数插补
Neutrophilia,50,6.3938618925831205,Categorical,2,众数插补
Psoas_Sign,37,4.731457800511509,Categorical,2,众数插补
Dysuria,29,3.70843989769821,Categorical,2,众数插补
BMI,27,3.4526854219948846,Numerical,639,均值/中位数插补
Height,26,3.324808184143223,Numerical,187,均值/中位数插补
RDW,26,3.324808184143223,Numerical,53,均值/中位数插补
US_Number,22,2.813299232736573,Numerical,760,均值/中位数插补
Thrombocyte_Count,18,2.3017902813299234,Numerical,260,均值/中位数插补
Hemoglobin,18,2.3017902813299234,Numerical,65,均值/中位数插补
RBC_Count,18,2.3017902813299234,Numerical,171,均值/中位数插补
Stool,17,2.1739130434782608,Categorical,4,众数插补
Coughing_Pain,16,2.0460358056265986,Categorical,2,众数插补
Contralateral_Rebound_Tenderness,15,1.9181585677749362,Categorical,2,众数插补
CRP,11,1.4066496163682864,Numerical,151,均值/中位数插补
Loss_of_Appetite,10,1.278772378516624,Categorical,2,众数插补
Peritonitis,9,1.1508951406649617,Categorical,3,众数插补
Migratory_Pain,9,1.1508951406649617,Categorical,2,众数插补
Nausea,8,1.0230179028132993,Categorical,2,众数插补
Lower_Right_Abd_Pain,8,1.0230179028132993,Categorical,2,众数插补
Body_Temperature,7,0.8951406649616368,Numerical,46,均值/中位数插补
WBC_Count,6,0.7672634271099744,Numerical,210,均值/中位数插补
Appendix_on_US,5,0.639386189258312,Categorical,2,众数插补
Length_of_Stay,4,0.5115089514066496,Numerical,19,均值/中位数插补
US_Performed,4,0.5115089514066496,Categorical,2,众数插补
Weight,3,0.3836317135549872,Numerical,268,均值/中位数插补
Diagnosis,2,0.2557544757033248,Categorical,2,众数插补
Diagnosis_Presumptive,2,0.2557544757033248,Categorical,16,众数插补
Sex,2,0.2557544757033248,Categorical,2,众数插补
Severity,1,0.1278772378516624,Categorical,2,众数插补
Management,1,0.1278772378516624,Categorical,4,众数插补
Age,1,0.1278772378516624,Numerical,715,均值/中位数插补
